Sort,Common Name,Scientific Name,Group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size, Global Pop Size# , Pop Size_US-Ca , Pop Size_US-Ca# ,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,BD-g, BD area ,BD-g_s,BD-g_com,ND-g, ND area ,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,CV-b,CV-b certainty,TN-c,TN-c_s,TN-c_com,CV-w,CV-w certainty,PT-c,PT-c_s,PT-c_com,LT % change,LT trend (%/yr),LT trend 90% lcl,LT trend 90% ucl,LT sig,ST % change,ST trend (%/yr),ST trend 90% lcl,ST trend 90% ucl,ST sig,ST yrs,core/extended BBS,LT CI width,N,RA,NxRA,Half-Life,CCS-b,CCS-n,CCS-max,Continental Importance,IUCN Red List 2023,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
411,Colombian Crake,Neocrex colombiana,waterbird,Gruiformes,Rallidae,,0,0,0,1,R,,,5,PIF CAW 2016,falta de informacion (CAW);,,,,,,,,5,"43,400",BirdLife 2016,,5,"43,400",BirdLife 2016,,3,Panjabi 2017,"Unknown, although it is considered unlikely to be at risk in the lowlands of western Ecuador and there is ample suitable habitat on the Pacific slope in Colombia (Tobias et al. 2006).  It occurs in marshes, swamps, wet savannas, wet grass, pastures and overgrown forest edge up to 2,100 m, and is not restricted to areas with water (Hilty and Brown 1986, Taylor and van Perlo 1998).  Score not assigned during PIF CAW workshop in 2014 as species added to list only later.",,,3,Panjabi 2017,Unknown; score not assigned during threats and trend workshop in 2014 as species add to list only later,,,3,PIF CAW 2015,"erratic breeder, has shown up in large numbers once",,,,,,,,,,,,,,,,,,16,16,16,Yellow Watch List,DD,,,Trans-Andean Lowlands,Trans-Andean Lowlands,Grasslands:  Tropical,Wetlands:  Seasonally Wet Grasslands,Grasslands:  Tropical,Wetlands:  Seasonally Wet Grasslands
412,Paint-billed Crake,Neocrex erythrops,waterbird,Gruiformes,Rallidae,,0,0,0,1,R,,,4,PIF CAW 2016,,,,,,,,,2,"1,430,000",BirdLife 2016,,2,"1,430,000",BirdLife 2016,,2,PIF CAW 2014,utiliza cultivos de arroz,,,2,PIF CAW 2014,,,,2,PIF CAW 2014,puede ser colonizando desde sudamerica; suele estar en zonas perturbadas y no se ha visto en h bitats naturales,,,,,,,,,,,,,,,,,,10,10,10,,,,,South American Lowlands,South American Lowlands,Grasslands:  Tropical,Wetlands:  Seasonally Wet Grasslands,Grasslands:  Tropical,Wetlands:  Seasonally Wet Grasslands
414,Spotted Rail,Pardirallus maculatus,waterbird,Gruiformes,Rallidae,,0,0,1,1,R,,,5,"WPE5, BirdLife 2015","2011 best guess for ssp. maculatus, 2005 for spp. insolitus.  11,000-26,700 total individuals (WPE5).","3,700","3,700",,,,,,2,"2,172,679",Natureserve,,2,"2,172,485",Natureserve,,3,MX-NSAC,,,,3,MX-NSAC,,,,3,MX-NSAC,unknown,,,,,,,,,,,,,,,,,,13,13,13,,,,"b,w",Neotropical,Neotropical,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,
415,Uniform Crake,Amaurolimnas concolor,waterbird,Gruiformes,Rallidae,,0,0,1,1,R,,,4,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,,,,2,"1,590,428",Natureserve,,2,"1,590,428",Natureserve,,4,MX-NSAC,,,,4,MX-NSAC,,,,5,MX-NSAC,>50% habitat loss has occurred (MX-NSAC),,,,,,,,,,,,,,,,,,15,15,15,Yellow Watch List; Tipping Point,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,Wetlands:  Forested,Forests:  Tropical Lowland Evergreen,Wetlands:  Forested
416,Rufous-necked Wood-Rail,Aramides axillaris,waterbird,Gruiformes,Rallidae,Monotypic.,0,0,1,1,R,,,4,PIF CAW 2016,,,,,,,,,3,"337,760",Natureserve,,3,"337,760",Natureserve,,4,MX-NSAC,,,,4,MX-NSAC,,,,4,MX-NSAC,probably has declined (MX-NSAC),,,,,,,,,,,,,,,,,,15,15,15,Yellow Watch List,,,,Neotropical,Neotropical,Coasts:  Mangroves,Forests:  Tropical Lowland Evergreen,Coasts:  Mangroves,Forests:  Tropical Lowland Evergreen
417,Russet-naped Wood-Rail,Aramides albiventris,waterbird,Gruiformes,Rallidae,Formerly included in Aramides cajaneus.,0,0,1,1,R,,,4,Panjabi 2017; PIF CAW 2017; MX-NSAC-17,guesstimate,,,,,,,,3,"526,988","BirdLife & HBW, eBird",,3,"526,988","BirdLife & HBW, eBird",,2,PIF CAW 2015,used most frequent score amongst regions,,,2,PIF CAW 2015,used Belize's score to break tie since eBird shows the most observations there amongst the regions scored,,,3,PIF CAW 2015,used most frequent score amongst regions,,,,,,,,,,,,,,,,,,12,12,12,,,,,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Wetlands:  Generalist,,Wetlands:  Generalist,
418,Gray-cowled Wood-Rail,Aramides cajaneus,waterbird,Gruiformes,Rallidae,Formerly Aramides cajanea.,0,0,0,1,R,,,2,Panjabi 2017; PIF CAW 2017; MX-NSAC-17,guesstimate,,,,,,,,1,"13,041,508","BirdLife & HBW, eBird",,1,"13,041,508","BirdLife & HBW, eBird",,2,PIF CAW 2015,used score shared by Costa Rica & Panama,,,2,PIF CAW 2015,used Panama's score as the only region scored,,,2,PIF CAW 2015,used score shared by Costa Rica & Panama,,,,,,,,,,,,,,,,,,7,7,7,,,,,South American Lowlands,South American Lowlands,Wetlands:  Generalist,,Wetlands:  Generalist,
419,Ridgway's Rail,Rallus obsoletus,waterbird,Gruiformes,Rallidae,Formerly considered conspecific with Rallus longirostris.,0,1,1,0,R,,,5,"WPE5, BirdLife 2015, Maley and Brumfield 2013b (taxonomic reference)","missing data for ssp. beldingi (both sources).  2005-2008 expert opinion for ssp. obsoletus, estimated at 1,400-1,450, 2007 expert opinion for ssp. levipes, estimated at 1,320-1,330, 1998-2008 for ssp. yumanensis, estimated at  (WPE5).  2005-2011 survey-based for ssp. obsoletus (BirdLife).",">15,000","15,000",,,,,,5,,Natureserve; MX-NSAC-12,,5,,Natureserve; MX-NSAC-12,,4,Waterbird Working Group 2017; PIFSC-CVS 2022,"yuma clapper rail expanding, but gulf of california population decimated",1,H,4,Waterbird Working Group 2017; PIFSC-CVS 2022,,2,M-H,3,Waterbird Working Group 2017,Yuma is spreading/increasing; need input from California (Hunter/Andres),,,,,,,,,,,,,,,,,,17,17,17,Red Watch List; Tipping Point,NT,,,North American Southwest,North American Southwest,Coasts:  Saltmarsh,Wetlands:  Freshwater Marsh,Coasts:  Saltmarsh,Wetlands:  Freshwater Marsh
420,Aztec Rail,Rallus tenuirostris,waterbird,Gruiformes,Rallidae,Formerly considered conspecific with Rallus elegans.,0,0,1,0,R,,,5,"BirdLife 2015, Maley & Brumfield 2013a (taxonomic reference)",,"15,000","15,000",,,,,,5,,Natureserve; PIF CAW-14,,5,,Natureserve; PIF CAW-14,,4,MX-NSAC-12,,,,4,MX-NSAC-15,,,,4,MX-NSAC,,,,,,,,,,,,,,,,,,,18,18,18,Red Watch List; Tipping Point,,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,
421,Mangrove Rail,Rallus longirostris,waterbird,Gruiformes,Rallidae,,0,0,0,1,R,,,4,PIF-CAW 2016,used Clapper Rail score,,,,,,,,3,"359,036",BirdLife,doesn't include C. American distribution since unknown,3,"359,036",BirdLife,doesn't include C. American distribution since unknown,3,PIF CAW 2015,,,,3,PIF CAW 2015,,,,3,PIF CAW 2015,,,,,,,,,,,,,,,,,,,13,13,13,,,,,South American Lowlands,South American Lowlands,Coasts:  Saltmarsh,Coasts:  Mangroves,Coasts:  Saltmarsh,Coasts:  Mangroves
422,King Rail,Rallus elegans,waterbird,Gruiformes,Rallidae,,1,1,0,0,M,,,4,"PIFcalc19-eBird7017(UsCa,WHem)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"69,000","69,000","63,000","63,000",2010.5,PIFcalc19-eBird7017,,2,"3,369,580",Natureserve,,2,"1,189,707",Natureserve,,4,Waterbird Working Group 2017; PIFSC-CVS 2022,"loss of freshwater wetlands continues rangewide, and may accelerate",2,H,4,Waterbird Working Group 2017; PIFSC-CVS 2022,,2,M-H,5,"BBS7021-AS,JS",,-87.63,-4.01,-5.67,-2.74,1,-28.12,-3.24,-8.72,2.52,,10,core,2.93,69,0.28,19.56,,15,15,15,Orange Watch List; Tipping Point,NT,,"b,w",Eastern Temperate,Eastern Temperate,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,Coasts:  Saltmarsh
423,Clapper Rail,Rallus crepitans,waterbird,Gruiformes,Rallidae,Formerly considered conspecific with Rallus longirostris.,1,1,1,1,M,,,4,"PIFcalc19-eBird7017(UsCa,WHem)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"210,000","210,000","170,000","170,000",2010.5,PIFcalc19-eBird7017,,3,"576,549",Natureserve,,3,"560,060",Natureserve,,3,Waterbird Working Group 2017; PIFSC-CVS 2022,"can tolerate deeper water than black and yellow rails; larger range than seaside sparrow reduces vulnerability; 20,800 CLRA harvest in 2015",3,M-H,3,Waterbird Working Group 2017; PIFSC-CVS 2022,,2,M-H,3,"Demarest, Hunter 2018","Hunter: I don't see any way around this being PT=3; BBS just doesn't cover most of the habitat for this species.  Demarest: 3 = lack of robust data to convincingly evaluate trend, but also the possibility for slight decreases.  Possibly there are other data (from Conroy-type national marshbird survey?)  that might challenge a score of 3.  But I don t know that these have been comprehensively evaluated across the range?  And if so, they would only represent the last 5-10 years anyway.",,,,,,,,,,,,,,,,,,13,13,13,,,,,Eastern Temperate,Eastern Temperate,Coasts:  Saltmarsh,,Coasts:  Saltmarsh,
424,Virginia Rail,Rallus limicola,waterbird,Gruiformes,Rallidae,,1,1,1,1,M,,,4,"PIFcalc19-eBird7017(UsCa,WHem)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"240,000","240,000","230,000","230,000",2010.5,PIFcalc19-eBird7017,,1,"5,541,553",Natureserve,,2,"2,091,087",Natureserve,,3,Waterbird Working Group 2017; PIFSC-CVS 2022,,2,M-H,3,Waterbird Working Group 2017; PIFSC-CVS 2022,"more flexible in winter, uses ditches and other modifed/artificial wetlands",3,M-H,1,"BBS7021-AS,JS",,67.51,1.02,-0.08,1.73,,-6.7,-0.69,-3.82,3.23,,10,core,1.81,412,0.02,8.7,,9,10,10,,,,,Nearctic,Nearctic,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,Coasts:  Saltmarsh
427,Sora,Porzana carolina,waterbird,Gruiformes,Rallidae,Monotypic.,1,1,1,1,M,,,3,PIFcalc19-bbs0615,,"4,400,000","4,400,000","4,400,000","4,400,000",2010.5,PIFcalc19-bbs0615,,1,"9,772,313",Natureserve,,1,"4,635,953",Natureserve,,3,Waterbird Working Group 2017; PIFSC-CVS 2022,,3,M-H,2,Waterbird Working Group 2017; PIFSC-CVS 2022,"more flexible in winter, uses ditches and other modifed/artificial wetlands",2,M-H,2,"BBS7021-AS,JS",,27.07,0.47,-0.35,1.52,,-6.36,-0.65,-3.9,2.72,,10,core,1.87,1160,0.86,1000.63,,9,8,9,,,,,Nearctic,Nearctic,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,Coasts:  Saltmarsh
455,American Avocet,Recurvirostra americana,shorebird,Charadriiformes,Recurvirostridae,Monotypic.,1,1,1,1,M,,,4,"USSCP 2016, B. Andres 2019","a small number (<10,000) breed in central Mexico (B. Andres 2019)","460,000","460,000","450,000","450,000",,USSCP 2016,,2,"2,458,907",BirdLife and NatureServe (2012),,2,"1,396,652",BirdLife and NatureServe (2012),,3,USSCP 2016; PIFSC-CVS 2022,,2,M-H,3,USSCP 2016; PIFSC-CVS 2022,,2,M-H,2,"BBS7021-AS,JS",,29.18,0.5,-0.7,1.84,,10.27,0.7,-2.28,3.36,,14,core,2.54,523,1.19,621.06,,11,11,11,,,,,Great Plains,Nearctic,Wetlands:  Freshwater Marsh,,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers
457,American Oystercatcher,Haematopus palliatus,shorebird,Charadriiformes,Haematopodidae,,1,1,1,1,M,,,5,Clay et al. 2014,"38,000-48,000 individuals globally.  Unclear whether global and US estimates represent breeding adults or all ages, so added < in case it includes juveniles","<43,000","43,000","12,000","12,000",,Clay et al. 2014,,2,"1,053,323",BirdLife and NatureServe (2012),,2,"1,122,126",BirdLife and NatureServe (2012),,4,B. Andres 2017; PIFSC-CVS 2022,"AMOY is now a conservation dependent species, i.e. without active management (human disturbance, predators) the populations will rapidly decline. (B.Andres 2017)",2,H,4,USSCP 2016; PIFSC-CVS 2022,,2,H,3,B. Andres 2017; PIF CAW 2014; Mexican Regional Assessment 2005,"trend is very unreliable; but could be slightly positive. (B. Andres 2017).  Demarest 2019: AMOYs would seem to be one of those  must get  CBC species.   Rosenberg 2019: occur (especially in winter) throughout the Neotropical portions of North America so CBC should not be used for PT scoring.  Panjabi 2019: Most neotropical regions give it a 3, one gives it a 4 (CEPL), and two give it a 1 (EL Salvador and Honduras), so 3 overall.",,,,,,,,,,,,,,,,,,14,14,14,Yellow Watch List; Tipping Point,,,,Widespread,Widespread,Coasts:  Beach and Estuary,,Coasts:  Beach and Estuary,
458,Black Oystercatcher,Haematopus bachmani,shorebird,Charadriiformes,Haematopodidae,Monotypic.,1,1,1,0,R,,,5,USSCP 2016,"<1% of this estimate is in Mexico (Tessler et al. 2014), so with rounding, the US/Canada and global estimates are effectively the same","10,000","10,000","10,000","10,000",2012,USSCP 2016,"Shaw 2020: <1% is in Mexico (Tessler et al. 2014), so due to rounding, US/Canada estimate appears identical to global estimate",4,"258,718",BirdLife and NatureServe (2012),,4,"271,752",BirdLife and NatureServe (2012),,3,B. Andres 2017; PIFSC-CVS 2022,"why are threats so much higher for American than Black? Because of beach nesting, because of habitat use BLOY is much less susceptible to beach effects of human disturbance (B. Andres 2017)",2,H,2,USSCP 2016; PIFSC-CVS 2022,,1,H,1,"CBC7019-TM,JS",,621.13,4.11,3.4,4.81,1,217.95,4.74,3.19,6.84,1,25,,1.41,,,,,13,12,13,,,,,Pacific North America,Pacific North America,Coasts:  Rocky Intertidal,,Coasts:  Rocky Intertidal,
460,Southern Lapwing,Vanellus chilensis,shorebird,Charadriiformes,Charadriidae,,0,0,0,1,M,,,2,PIF CAW 2016,,,,,,,,,1,,Natureserve,,1,,Natureserve,,1,B. Andres 2017,Expanding and adaptable (B. Andres 2017).,,,1,PIF CAW 2014,,,,1,PIF CAW 2014,Expanding and adaptable (B. Andres 2017).,,,,,,,,,,,,,,,,,,5,5,5,,,,,Neotropical,Neotropical,Open Country:  Developed/Disturbed,,Open Country:  Developed/Disturbed,
461,Black-bellied Plover,Pluvialis squatarola,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,1,M,,,3,B. Andres 2017,A case for North American populations. One of the few species where our populations estimate was lower (B. Andres 2017).,"840,000","840,000","360,000","360,000",,USSCP 2016,,2,"3,953,493",BirdLife and NatureServe (2012),,1,"9,875,098",BirdLife and NatureServe (2012),,3,B. Andres 2017; PIFSC-CVS 2022,Some concern about Western Atlantic population (B. Andres 2017).,4,M-H,3,USSCP 2016; PIFSC-CVS 2022,,1,H,5,Mig8019,,-57.39,-2.18,-3.33,-1.11,1,-48.1,-2.84,-4.68,-1.09,1,23,,2.22,905.175,26.29,23792.9,,13,12,13,Orange Watch List; Tipping Point,,,,Arctic,Widespread,Wetlands:  Tundra,Tundra:  Arctic,Coasts:  Beach and Estuary,
463,American Golden-Plover,Pluvialis dominica,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,1,M,,,4,B. Andres 2017,"Population size on edge, so increase to 4 (B. Andres 2017)","<500,000","500,000","500,000","500,000",,B. Andres 2017,,2,"3,582,706",BirdLife and NatureServe (2012),,2,"1,444,506",BirdLife and NatureServe (2012),,3,USSCP 2016; PIFSC-CVS 2022,,4,M-L,4,USSCP 2016,,,,5,Mig8019,,-73.31,-3.34,-4.77,-2,1,-47.9,-4.95,-9.04,-1.35,1,13,,2.77,594.15,0.11,67.92,14,14,15,15,Orange Watch List; Tipping Point,,,w,Arctic,Temperate South America,Tundra:  Arctic,,Grasslands:  Pampas and Campos,
464,Pacific Golden-Plover,Pluvialis fulva,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,1,M,,,4,USSCP 2016,,"220,000","220,000","43,000","43,000",,USSCP 2016,,2,"2,255,190",BirdLife and NatureServe (2012),,1,"5,187,158",BirdLife and NatureServe (2012),,4,USSCP 2016; PIFSC-CVS 2022,,5,H,3,USSCP 2016; PIFSC-CVS 2022,,3,M-H,2,BBS9321-JS,,0,0,-1.17,0.24,,0,0,-1.53,0.51,,12,extended,1.41,10,1.29,12.89,,12,10,12,,,,,Arctic,Paleotropical,Wetlands:  Tundra,,Coasts:  Beach and Estuary,
466,Killdeer,Charadrius vociferus,shorebird,Charadriiformes,Charadriidae,,1,1,1,1,M,,,3,"USSCP 2016, bbs0615(BBS), eBird7017(WHem)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"2,300,000","2,300,000","1,800,000","1,800,000",2012,"USSCP 2016; bbs0615(BBS), eBird7017(WHem)","Shaw 2020: extrapolated from USSCP 2016 world estimate of 2,005,500 using the proportion in US/Canada estimated from the other sources listed",1,"14,430,677",BirdLife and NatureServe (2012),,1,"9,132,484",BirdLife and NatureServe (2012),,2,B. Andres 2017; PIFSC-CVS 2022,,2,H,2,USSCP 2016; PIFSC-CVS 2022,,2,H,4,"BBS7021-AS,JS",,-39.57,-0.98,-1.1,-0.79,1,-20.88,-1.93,-2.43,-1.55,1,12,core,0.31,4381,4.69,20542.41,,10,10,10,,,yes,"b,w",Nearctic,Widespread,Open Country:  Habitat Mosaic,Wetlands:  Generalist,Open Country:  Habitat Mosaic,Wetlands:  Generalist
467,Common Ringed Plover,Charadrius hiaticula,shorebird,Charadriiformes,Charadriidae,,1,0,0,0,M,,,3,USSCP 2016,,"910,000","910,000","2,000","2,000",,USSCP 2016,,1,"4,694,414",BirdLife and NatureServe (2012),,1,"23,892,621",BirdLife and NatureServe (2012),,2,USSCP 2016,,,,3,USSCP 2016,,,,3,USSCP 2016,,,,,,,,,,,,,,,,,,,9,10,10,,,,,Arctic,Paleotropical,Wetlands:  Tundra,,Coasts:  Beach and Estuary,
468,Semipalmated Plover,Charadrius semipalmatus,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,1,M,,,4,USSCP 2016,,"200,000","200,000","200,000","200,000",,USSCP 2016,,1,"4,918,499",BirdLife and NatureServe (2012),,2,"2,794,885",BirdLife and NatureServe (2012),,3,USSCP 2016; PIFSC-CVS 2022,,4,M-H,3,USSCP 2016; PIFSC-CVS 2022,,2,H,4,Mig8019,,-30.83,-0.96,-2.09,-0.02,1,-13.97,-1.57,-4.82,0.58,,11,,2.07,1026.75,20.02,20557.07,,12,13,13,,,,,Arctic,Widespread,Coasts:  Beach and Estuary,Tundra:  Arctic,Coasts:  Beach and Estuary,
469,Piping Plover,Charadrius melodus,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,1,M,,,5,USSCP 2016,,"8,400","8,400","8,400","8,400",,USSCP 2016,,3,"501,304",BirdLife and NatureServe (2012),,4,"222,206",BirdLife and NatureServe (2012),,5,USSCP 2016; PIFSC-CVS 2022,,5,M-L,4,USSCP 2016; PIFSC-CVS 2022,,3,M-H,3,Mig8019,,-43.68,-1.46,-3.08,0.06,,-28.31,-3,-7.03,1.17,,11,,3.13,273.4,1.14,311.24,,16,16,16,Orange Watch List; Tipping Point,NT,,,Eastern Temperate,Eastern Temperate,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,
474,Wilson's Plover,Charadrius wilsonia,shorebird,Charadriiformes,Charadriidae,,0,1,1,1,M,,,5,USSCP 2016,,"22,000","22,000","8,600","8,600",,USSCP 2016,,3,"854,106",BirdLife and NatureServe (2012),,3,"833,803",BirdLife and NatureServe (2012),,4,USSCP 2016; PIFSC-CVS 2022,,2,H,4,USSCP 2016; PIFSC-CVS 2022,,2,H,5,BBS9321-JS,,-74.44,-4.76,-6.67,-0.94,1,-39.06,-4.43,-6.49,-0.33,1,11,extended,5.73,26,0.04,1.09,15,17,17,17,Red Watch List; Tipping Point,,,,Widespread,Widespread,Coasts:  Beach and Estuary,,Coasts:  Beach and Estuary,
475,Collared Plover,Charadrius collaris,shorebird,Charadriiformes,Charadriidae,Monotypic.,0,0,1,1,R,,,4,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016.  Agree with PS change (B.Andres 2017),,,,,,,,1,"15,037,381",Natureserve,,1,"15,037,381",Natureserve,,3,PIF CAW 2014,,,,2,PIF CAW 2014,,,,3,PIF CAW 2014,,,,,,,,,,,,,,,,,,,11,10,11,,,,,Neotropical,Neotropical,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary
476,Mountain Plover,Charadrius montanus,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,0,M,,,5,USSCP 2016,,"20,000","20,000","20,000","20,000",,USSCP 2016,,3,"759,955",BirdLife and NatureServe (2012),,3,"881,845",BirdLife and NatureServe (2012),,4,PIFSC-19; PIFSC-CVS 2022,changed due to calibration with TB-r,4,M-H,4,USSCP 2016; PIFSC-CVS 2022,,2,H,5,"BBS7021-AS,JS",,-78.19,-2.94,-5.07,-1.37,1,-48.55,-5.39,-9.67,-0.25,1,12,core,3.7,80.5,0.3,23.76,13,17,17,17,Red Watch List; Tipping Point,NT,,"b,w",Great Plains,North American Southwest,Grasslands:  Temperate,,Grasslands:  Chihuahuan,
477,Snowy Plover,Charadrius nivosus,shorebird,Charadriiformes,Charadriidae,,0,1,1,1,M,,,5,USSCP 2016,,"31,000","31,000","24,000","24,000",2012,Thomas et al. 2012,"Shaw 2020: Extrapolated from N. American estimate of 25,869 that included 9% in Mexico",2,"1,092,482",BirdLife and NatureServe (2012),,2,"1,080,723",BirdLife and NatureServe (2012),,4,USSCP 2016; PIFSC-CVS 2022,,1,H,4,USSCP 2016; PIFSC-CVS 2022,,1,H,3,PIFSC-23,"Panjabi-23: eBird S&T recent trends increasing in Mexico, decreasing in US, and only about 25% of population winters in US based on ebird S&T model, so CBC's large long-term pop gain of 75% that would yield a score of 1 not representative of the global pop and could be confounded by climate change range shifts.  PT-r = 4 in all key Mexican breeding areas (NWAB, NWCH, CEMH), consistent with USSCP 2016.  PT-c = 3 for uncertainty.",,,,,,,,,,,,,,,,,,14,14,14,Yellow Watch List; Tipping Point,NT,,,Widespread,Widespread,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,
478,Northern Jacana,Jacana spinosa,shorebird,Charadriiformes,Jacanidae,,0,1,1,1,R,,,3,PIF CAW 2016,,,,,,,,,2,"1,051,279",Natureserve,,2,"1,051,279",Natureserve,,2,Brown et al. 2001,,,,2,PIFTC-02,,,,3,Brown et al. 2001,stable (MX-NSAC),,,,,,,,,,,,,,,,,,10,10,10,,,,,Mesoamerica,Mesoamerica,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,
479,Wattled Jacana,Jacana jacana,shorebird,Charadriiformes,Jacanidae,,0,0,0,1,R,,,2,PIF CAW 2016,,,,,,,,,1,"13,900,000",BirdLife 2016,,1,"13,900,000",BirdLife 2016,,2,PIF CAW 2014,,,,2,PIF CAW 2014,,,,2,PIF CAW 2014,,,,,,,,,,,,,,,,,,,7,7,7,,,,,South American Lowlands,South American Lowlands,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,
480,Upland Sandpiper,Bartramia longicauda,shorebird,Charadriiformes,Scolopacidae,Monotypic.,1,1,1,1,M,,,3,USSCP 2016,latest scores from USSCP,"750,000","750,000","750,000","750,000",,USSCP 2016,,2,"3,281,142",BirdLife and NatureServe (2012),,2,"3,176,717",BirdLife and NatureServe (2012),,4,USSCP 2016; PIFSC-CVS 2022,,2,H,4,USSCP 2016,,,,2,"BBS7021-AS,JS",,16.68,0.3,0.01,0.71,1,-11.76,-1.13,-2.26,-0.17,1,11,core,0.69,1090,2.53,2748.51,,11,11,11,,,,"b,w",Great Plains,Temperate South America,Grasslands:  Temperate,,Grasslands:  Pampas and Campos,
481,Bristle-thighed Curlew,Numenius tahitiensis,shorebird,Charadriiformes,Scolopacidae,Monotypic.,0,1,0,0,M,,,5,USSCP 2016,,"10,000","10,000","10,000","10,000",,USSCP 2016,,5,"45,419",BirdLife and NatureServe (2012),,5,"57,097",BirdLife and NatureServe (2012),,3,USSCP 2016,,,,4,USSCP 2016,,,,3,USSCP 2016,,,,,,,,,,,,,,,,,,,16,17,17,Red Watch List; Tipping Point,NT,,,Arctic,Eastern Indo-Pacific,Tundra:  Arctic,,Coasts:  Beach and Estuary,
482,Whimbrel,Numenius phaeopus,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1,M,,,3,B. Andres 2017,Four recognized subspecies. Case for North American populations (B.Andres 2017).,"1,800,000","1,800,000","80,000","80,000",,USSCP 2016,,1,"4,775,971",BirdLife and NatureServe (2012),,1,"10,561,474",BirdLife and NatureServe (2012),,4,USSCP 2016; PIFSC-CVS 2022,,5,M-L,4,USSCP 2016; PIFSC-CVS 2022,,1,H,5,Mig8019,,-78.62,-3.87,-5.52,-2.2,1,-70.49,-5.9,-9.04,-2.68,1,20,,3.32,487.675,0.7,342.57,11,13,13,13,Orange Watch List; Tipping Point,,,,Arctic,Widespread,Tundra:  Arctic,Wetlands:  Boreal,Coasts:  Beach and Estuary,Coasts:  Saltmarsh
484,Eskimo Curlew,Numenius borealis,shorebird,Charadriiformes,Scolopacidae,Monotypic.,1,1,1,1,M,,,5,USSCP 2016,,<50,50, <50 ,50,,USSCP 2016,,3,"489,795",BirdLife and NatureServe (2012),,2,"1,747,849",BirdLife and NatureServe (2012),,5,USSCP 2016,,,,5,USSCP 2016,,,,5,USSCP 2016,,,,,,,,,,,,,,,,,,,18,17,18,Red Watch List; Tipping Point,CR (PE),,,Arctic,Temperate South America,Tundra:  Arctic,,Grasslands:  Pampas and Campos,
485,Long-billed Curlew,Numenius americanus,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1,M,,,4,USSCP 2016,,"140,000","140,000","140,000","140,000",,USSCP 2016,,2,"2,114,978",BirdLife and NatureServe (2012),,2,"1,828,856",BirdLife and NatureServe (2012),,4,B. Andres 2017; PIFSC-CVS 2022,"Are threats really that high year-round? Perhaps, as a lot winter in northern Mexico (B.Andres 2017).",4,M-H,4,USSCP 2016; PIFSC-CVS 2022,,2,M-H,2,"BBS7021-AS,JS",,-10.31,-0.21,-0.96,0.34,,4.04,0.2,-0.6,1.15,,20,core,1.3,504,1.88,947.95,,12,12,12,,,,"b,w",Great Plains,Nearctic,Grasslands:  Temperate,,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers
