SpeciesCommonName,ScientificName,Type,RiskName,RiskIndex,,,,
Golden Vireo,Vireo hypochryseus,landbird,Cats,0.85,,,,
Slaty Vireo,Vireo brevipennis,landbird,Weasels,0.71,,,,
Black-capped Vireo,Vireo atricapilla,landbird,Weasels,0.65,,,,
Dwarf Vireo,Vireo nelsoni,landbird,Mink,0.78,,,,
White-eyed Vireo,Vireo griseus,landbird,Eagles,0.15,,,,
Mangrove Vireo,Vireo pallens,landbird,Mink,0.35,,,,
Cozumel Vireo,Vireo bairdi,landbird,Mink,0.03,,,,
Bell's Vireo,Vireo bellii,landbird,Mink,0.15,,,,
Gray Vireo,Vireo vicinior,landbird,Eagles,0.98,,,,
Hutton's Vireo,Vireo huttoni,landbird,Eagles,0.82,,,,
Yellow-throated Vireo,Vireo flavifrons,landbird,Stoats,0.22,,,,
Yellow-winged Vireo,Vireo carmioli,landbird,Ferrets,0.32,,,,
Loggerhead Shrike,Lanius ludovicianus,landbird,Eagles,1,,,,
Northern Shrike,Lanius borealis,landbird,Weasels,0.8,,,,
Canada Jay,Perisoreus canadensis,landbird,Mink,0.09,,,,
White-throated Jay,Cyanolyca mirabilis,landbird,Ferrets,0.22,,,,
Dwarf Jay,Cyanolyca nanus,landbird,Mink,0.82,,,,
Black-throated Jay,Cyanolyca pumilo,landbird,Mink,0.3,,,,
Silvery-throated Jay,Cyanolyca argentigula,landbird,Cats,0.38,,,,
Azure-hooded Jay,Cyanolyca cucullata,landbird,Raccoons,0.4,,,,
Black-throated Magpie-Jay,Calocitta colliei,landbird,Snakes,0.4,,,,
White-throated Magpie-Jay,Calocitta formosa,landbird,Snakes,0.47,,,,
Brown Jay,Psilorhinus morio,landbird,Eagles,0.87,,,,
Tufted Jay,Cyanocorax dickeyi,landbird,Eagles,0.39,,,,
Black-chested Jay,Cyanocorax affinis,landbird,Stoats,0.55,,,,
Green Jay,Cyanocorax yncas,landbird,Eagles,0.93,,,,
Bushy-crested Jay,Cyanocorax melanocyaneus,landbird,Eagles,0.98,,,,
San Blas Jay,Cyanocorax sanblasianus,landbird,Eagles,0.84,,,,
Yucatan Jay,Cyanocorax yucatanicus,landbird,Cats,0.19,,,,
Purplish-backed Jay,Cyanocorax beecheii,landbird,Weasels,0.33,,,,
Pinyon Jay,Gymnorhinus cyanocephalus,landbird,Snakes,0.68,,,,
Steller's Jay,Cyanocitta stelleri,landbird,Snakes,0.66,,,,
Blue Jay,Cyanocitta cristata,landbird,Mink,0.22,,,,
Florida Scrub-Jay,Aphelocoma coerulescens,landbird,Stoats,0.76,,,,
Island Scrub-Jay,Aphelocoma insularis,landbird,Stoats,0.24,,,,
California Scrub-Jay,Aphelocoma californica,landbird,Raccoons,0.85,,,,
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,landbird,Raccoons,0.06,,,,
Transvolcanic Jay,Aphelocoma ultramarina,landbird,Raccoons,0.35,,,,
Mexican Jay,Aphelocoma wollweberi,landbird,Ferrets,0.64,,,,
Unicolored Jay,Aphelocoma unicolor,landbird,Ferrets,0.58,,,,
Clark's Nutcracker,Nucifraga columbiana,landbird,Ferrets,0.47,,,,
Black-billed Magpie,Pica hudsonia,landbird,Raccoons,0.15,,,,
Yellow-billed Magpie,Pica nuttalli,landbird,Stoats,0.91,,,,
American Crow,Corvus brachyrhynchos,landbird,Stoats,0.99,,,,
Tamaulipas Crow,Corvus imparatus,landbird,Eagles,0.71,,,,
Sinaloa Crow,Corvus sinaloae,landbird,Raccoons,0.53,,,,
Fish Crow,Corvus ossifragus,landbird,Cats,0.01,,,,
Chihuahuan Raven,Corvus cryptoleucus,landbird,Eagles,0.31,,,,
Common Raven,Corvus corax,landbird,Weasels,0.27,,,,
Verdin,Auriparus flaviceps,landbird,Ferrets,0.22,,,,
Carolina Chickadee,Poecile carolinensis,landbird,Mink,0.1,,,,
Black-capped Chickadee,Poecile atricapillus,landbird,Snakes,0.15,,,,
Mountain Chickadee,Poecile gambeli,landbird,Weasels,0.87,,,,
Mexican Chickadee,Poecile sclateri,landbird,Cats,0.75,,,,
Chestnut-backed Chickadee,Poecile rufescens,landbird,Snakes,0.33,,,,
Boreal Chickadee,Poecile hudsonicus,landbird,Cats,0.53,,,,
Gray-headed Chickadee,Poecile cinctus,landbird,Ferrets,0.58,,,,
Bridled Titmouse,Baeolophus wollweberi,landbird,Ferrets,0.42,,,,
Oak Titmouse,Baeolophus inornatus,landbird,Weasels,0.25,,,,
Juniper Titmouse,Baeolophus ridgwayi,landbird,Eagles,0.2,,,,
Talamanca Hummingbird,Eugenes spectabilis,landbird,Stoats,0.07,,,,
Fiery-throated Hummingbird,Panterpe insignis,landbird,Snakes,0.89,,,,
Long-billed Starthroat,Heliomaster longirostris,landbird,Weasels,0.85,,,,
Plain-capped Starthroat,Heliomaster constantii,landbird,Weasels,0.61,,,,
Green-throated Mountain-gem,Lampornis viridipallens,landbird,Snakes,0.85,,,,
Green-breasted Mountain-gem,Lampornis sybillae,landbird,Snakes,0.54,,,,
Amethyst-throated Mountain-gem,Lampornis amethystinus,landbird,Stoats,0.83,,,,
Blue-throated Mountain-gem,Lampornis clemenciae,landbird,Mink,0.11,,,,
White-bellied Mountain-gem,Lampornis hemileucus,landbird,Weasels,0.47,,,,
Purple-throated Mountain-gem,Lampornis calolaemus,landbird,Snakes,0.08,,,,
White-throated Mountain-gem,Lampornis castaneoventris,landbird,Snakes,0.89,,,,
Garnet-throated Hummingbird,Lamprolaima rhami,landbird,Weasels,0.07,,,,
Magenta-throated Woodstar,Philodice bryantae,landbird,Snakes,0.83,,,,
Purple-throated Woodstar,Philodice mitchellii,landbird,Cats,0.13,,,,
Slender Sheartail,Doricha enicura,landbird,Weasels,0.54,,,,
Mexican Sheartail,Doricha eliza,landbird,Cats,0.61,,,,
Sparkling-tailed Hummingbird,Tilmatura dupontii,landbird,Weasels,0.43,,,,
Lucifer Hummingbird,Calothorax lucifer,landbird,Cats,0.2,,,,
Beautiful Hummingbird,Calothorax pulcher,landbird,Snakes,0.03,,,,
Ruby-throated Hummingbird,Archilochus colubris,landbird,Mink,0.59,,,,
Black-chinned Hummingbird,Archilochus alexandri,landbird,Raccoons,0.89,,,,
Anna's Hummingbird,Calypte anna,landbird,Cats,0.21,,,,
Costa's Hummingbird,Calypte costae,landbird,Stoats,0.97,,,,
Calliope Hummingbird,Selasphorus calliope,landbird,Ferrets,0.99,,,,
Broad-billed Hummingbird,Cynanthus latirostris,landbird,Snakes,0.96,,,,
Tres Marias Hummingbird,Cynanthus lawrencei,landbird,Mink,0.71,,,,
Turquoise-crowned Hummingbird,Cynanthus doubledayi,landbird,Cats,0.56,,,,
Golden-crowned Emerald,Cynanthus auriceps,landbird,Eagles,0.68,,,,
Green-fronted Hummingbird,Ramosomyia viridifrons,landbird,Eagles,0.13,,,,
Azure-crowned Hummingbird,Saucerottia cyanocephala,landbird,Raccoons,0.9,,,,
Blue-vented Hummingbird,Saucerottia hoffmanni,landbird,Snakes,0.54,,,,
Berylline Hummingbird,Saucerottia beryllina,landbird,Cats,0.17,,,,
Blue-tailed Hummingbird,Saucerottia cyanura,landbird,Raccoons,0.38,,,,
Snowy-bellied Hummingbird,Saucerottia edward,landbird,Weasels,0.67,,,,
Cinnamon Hummingbird,Amazilia rutila,landbird,Ferrets,0.83,,,,
Buff-bellied Hummingbird,Amazilia yucatanensis,landbird,Snakes,0.9,,,,
Escudo Hummingbird,Amazilia tzacatl handleyi,landbird,Stoats,0.35,,,,
Rufous-tailed Hummingbird,Amazilia tzacatl,landbird,Stoats,0.15,,,,
Honduran Emerald,Amazilia luciae,landbird,Cats,0.2,,,,
Mangrove Hummingbird,Amazilia boucardi,landbird,Snakes,0.05,,,,
Sapphire-throated Hummingbird,Chrysuronia coeruleogularis,landbird,Eagles,0.95,,,,
Humboldt's Sapphire,Chrysuronia humboldtii,landbird,Ferrets,0.79,,,,
Blue-chested Hummingbird,Polyerata amabilis,landbird,Raccoons,0.25,,,,
Charming Hummingbird,Polyerata decora,landbird,Raccoons,0.3,,,,
White-bellied Emerald,Chlorestes candida,landbird,Stoats,0.41,,,,
Blue-throated Goldentail,Chlorestes eliciae,landbird,Eagles,0.23,,,,
Violet-bellied Hummingbird,Chlorestes julie,landbird,Eagles,0.47,,,,
Colombian Crake,Neocrex colombiana,waterbird,Opossums,1,,,,
Paint-billed Crake,Neocrex erythrops,waterbird,Snakes,0.19,,,,
Spotted Rail,Pardirallus maculatus,waterbird,Foxes,0.19,,,,
Uniform Crake,Amaurolimnas concolor,waterbird,Foxes,0.77,,,,
Rufous-necked Wood-Rail,Aramides axillaris,waterbird,Foxes,0.56,,,,
Russet-naped Wood-Rail,Aramides albiventris,waterbird,Opossums,0.31,,,,
Gray-cowled Wood-Rail,Aramides cajaneus,waterbird,Snakes,0.82,,,,
Ridgway's Rail,Rallus obsoletus,waterbird,Snakes,0.15,,,,
Aztec Rail,Rallus tenuirostris,waterbird,Snakes,0.22,,,,
Mangrove Rail,Rallus longirostris,waterbird,Opossums,0,,,,
King Rail,Rallus elegans,waterbird,Snakes,0.58,,,,
Clapper Rail,Rallus crepitans,waterbird,Snakes,0.82,,,,
Virginia Rail,Rallus limicola,waterbird,Opossums,0.83,,,,
Sora,Porzana carolina,waterbird,Coyotes,0.7,,,,
American Avocet,Recurvirostra americana,shorebird,Cat,0.58,,,,
American Oystercatcher,Haematopus palliatus,shorebird,Mongoose,0.43,,,,
Black Oystercatcher,Haematopus bachmani,shorebird,Mongoose,0.16,,,,
Southern Lapwing,Vanellus chilensis,shorebird,Mongoose,0.63,,,,
Black-bellied Plover,Pluvialis squatarola,shorebird,Rats,0.03,,,,
American Golden-Plover,Pluvialis dominica,shorebird,Mongoose,0.8,,,,
Pacific Golden-Plover,Pluvialis fulva,shorebird,Mongoose,0.8,,,,
Killdeer,Charadrius vociferus,shorebird,Rats,0.2,,,,
Common Ringed Plover,Charadrius hiaticula,shorebird,Cat,0.96,,,,
Semipalmated Plover,Charadrius semipalmatus,shorebird,Mongoose,0.09,,,,
Piping Plover,Charadrius melodus,shorebird,Mongoose,0.76,,,,
Wilson's Plover,Charadrius wilsonia,shorebird,Rats,0.57,,,,
Collared Plover,Charadrius collaris,shorebird,Mongoose,1,,,,
Mountain Plover,Charadrius montanus,shorebird,Cat,0.65,,,,
Snowy Plover,Charadrius nivosus,shorebird,Mongoose,0.73,,,,
Northern Jacana,Jacana spinosa,shorebird,Rats,0.11,,,,
Wattled Jacana,Jacana jacana,shorebird,Mongoose,0.7,,,,
Upland Sandpiper,Bartramia longicauda,shorebird,Cat,0.73,,,,
Bristle-thighed Curlew,Numenius tahitiensis,shorebird,Mongoose,0,,,,
Whimbrel,Numenius phaeopus,shorebird,Cat,0.94,,,,
Eskimo Curlew,Numenius borealis,shorebird,Rats,0.56,,,,
Long-billed Curlew,Numenius americanus,shorebird,Cat,0.65,,,,
Bar-tailed Godwit,Limosa lapponica,shorebird,Cat,0.64,,,,
Hudsonian Godwit,Limosa haemastica,shorebird,Cat,0.1,,,,
Marbled Godwit,Limosa fedoa,shorebird,Cat,0.36,,,,
Stilt Sandpiper,Calidris himantopus,shorebird,Rats,0.67,,,,
Sanderling,Calidris alba,shorebird,Cat,0.7,,,,
Dunlin,Calidris alpina,shorebird,Cat,0.88,,,,
Rock Sandpiper,Calidris ptilocnemis,shorebird,Mongoose,0.14,,,,
Buff-breasted Sandpiper,Calidris subruficollis,shorebird,Mongoose,0.11,,,,
Pectoral Sandpiper,Calidris melanotos,shorebird,Rats,0.92,,,,
Semipalmated Sandpiper,Calidris pusilla,shorebird,Cat,0.5,,,,
Western Sandpiper,Calidris mauri,shorebird,Rats,0.58,,,,
Short-billed Dowitcher,Limnodromus griseus,shorebird,Mongoose,0.43,,,,
Long-billed Dowitcher,Limnodromus scolopaceus,shorebird,Rats,0.49,,,,
American Woodcock,Scolopax minor,shorebird,Rats,0.51,,,,
Wilson's Snipe,Gallinago delicata,shorebird,Rats,0.04,,,,
Spotted Sandpiper,Actitis macularius,shorebird,Cat,0.35,,,,
Solitary Sandpiper,Tringa solitaria,shorebird,Rats,0.18,,,,
Wandering Tattler,Tringa incana,shorebird,Rats,0.87,,,,
Lesser Yellowlegs,Tringa flavipes,shorebird,Rats,0.68,,,,
Willet,Tringa semipalmata,shorebird,Cat,0.5,,,,
Greater Yellowlegs,Tringa melanoleuca,shorebird,Rats,0.5,,,,
Wilson's Phalarope,Phalaropus tricolor,shorebird,Cat,0.11,,,,
Red-necked Phalarope,Phalaropus lobatus,shorebird,Rats,0.76,,,,
Red Phalarope,Phalaropus fulicarius,shorebird,Cat,0.6,,,,
Great Skua,Stercorarius skua,waterbird,Foxes,0.55,,,,
South Polar Skua,Stercorarius maccormicki,waterbird,Coyotes,0.24,,,,
Pomarine Jaeger,Stercorarius pomarinus,waterbird,Coyotes,0.89,,,,
Parasitic Jaeger,Stercorarius parasiticus,waterbird,Opossums,0.17,,,,
Long-tailed Jaeger,Stercorarius longicaudus,waterbird,Opossums,0.38,,,,
Black-capped Swallow,Atticora pileata,landbird,Weasels,0.77,,,,
White-thighed Swallow,Atticora tibialis,landbird,Cats,0.09,,,,
Blue-and-white Swallow,Pygochelidon cyanoleuca,landbird,Raccoons,0.65,,,,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,landbird,Stoats,0.01,,,,
Southern Rough-winged Swallow,Stelgidopteryx ruficollis,landbird,Stoats,0.46,,,,
Brown-chested Martin,Progne tapera,landbird,Eagles,0.41,,,,
Purple Martin,Progne subis,landbird,Weasels,0.55,,,,
Gray-breasted Martin,Progne chalybea,landbird,Ferrets,0.62,,,,
Sinaloa Martin,Progne sinaloae,landbird,Mink,0.3,,,,
Barn Swallow,Hirundo rustica,landbird,Weasels,0.01,,,,
Cliff Swallow,Petrochelidon pyrrhonota,landbird,Snakes,0.01,,,,
Cave Swallow,Petrochelidon fulva,landbird,Mink,0.74,,,,
Bushtit,Psaltriparus minimus,landbird,Snakes,0.33,,,,
Arctic Warbler,Phylloscopus borealis,landbird,Cats,0.66,,,,
Wrentit,Chamaea fasciata,landbird,Raccoons,0.94,,,,
Ruby-crowned Kinglet,Corthylio calendula,landbird,Snakes,0.2,,,,
Golden-crowned Kinglet,Regulus satrapa,landbird,Ferrets,0.42,,,,
Bohemian Waxwing,Bombycilla garrulus,landbird,Ferrets,0.89,,,,
Cedar Waxwing,Bombycilla cedrorum,landbird,Eagles,0.82,,,,
Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha,landbird,Cats,0.66,,,,
Pygmy Nuthatch,Sitta pygmaea,landbird,Mink,0.71,,,,
Brown-headed Nuthatch,Sitta pusilla,landbird,Mink,0.11,,,,
Brown Creeper,Certhia americana,landbird,Eagles,0.54,,,,
Long-billed Gnatwren,Ramphocaenus melanurus,landbird,Weasels,0.7,,,,
Tawny-faced Gnatwren,Microbates cinereiventris,landbird,Raccoons,0.18,,,,
Slate-throated Gnatcatcher,Polioptila schistaceigula,landbird,Eagles,0.67,,,,
Yucatan Gnatcatcher,Polioptila albiventris,landbird,Eagles,0.39,,,,
White-browed Gnatcatcher,Polioptila bilineata,landbird,Ferrets,0.7,,,,
Blue-gray Gnatcatcher,Polioptila caerulea,landbird,Mink,0.95,,,,
Rock Wren,Salpinctes obsoletus,landbird,Snakes,0.84,,,,
Nightingale Wren,Microcerculus philomela,landbird,Ferrets,0.77,,,,
Scaly-breasted Wren,Microcerculus marginatus,landbird,Eagles,0.51,,,,
Canyon Wren,Catherpes mexicanus,landbird,Mink,0.03,,,,
Sumichrast's Wren,Hylorchilus sumichrasti,landbird,Stoats,0.17,,,,
White-breasted Wood-Wren,Henicorhina leucosticta,landbird,Weasels,0.52,,,,
Gray-breasted Wood-Wren,Henicorhina leucophrys,landbird,Eagles,0.15,,,,
Song Wren,Cyphorhinus phaeocephalus,landbird,Mink,0.28,,,,
White-bellied Wren,Uropsila leucogastra,landbird,Cats,0.56,,,,
Rufous-and-white Wren,Thryophilus rufalbus,landbird,Stoats,0.04,,,,
Cactus Wren,Campylorhynchus brunneicapillus,landbird,Ferrets,0.21,,,,
Bewick's Wren,Thryomanes bewickii,landbird,Cats,0.42,,,,
Carolina Wren,Thryothorus ludovicianus,landbird,Stoats,0.67,,,,
House Wren,Troglodytes aedon,landbird,Snakes,0.51,,,,
Socorro Wren,Troglodytes sissonii,landbird,Ferrets,0.13,,,,
Clarion Wren,Troglodytes tanneri,landbird,Weasels,0.78,,,,
Rufous-browed Wren,Troglodytes rufociliatus,landbird,Eagles,0.2,,,,
Ochraceous Wren,Troglodytes ochraceus,landbird,Cats,0.57,,,,
Pacific Wren,Troglodytes pacificus,landbird,Cats,0.94,,,,
Winter Wren,Troglodytes hiemalis,landbird,Mink,0.81,,,,
Sedge Wren,Cistothorus stellaris,landbird,Mink,0.59,,,,
Grass Wren,Cistothorus platensis,landbird,Mink,0.95,,,,
Marsh Wren,Cistothorus palustris,landbird,Cats,0.19,,,,
Timberline Wren,Thryorchilus browni,landbird,Mink,0.92,,,,
Blue Mockingbird,Melanotis caerulescens,landbird,Raccoons,0.97,,,,
Blue-and-white Mockingbird,Melanotis hypoleucus,landbird,Weasels,0.44,,,,
Black Catbird,Melanoptila glabrirostris,landbird,Raccoons,0.3,,,,
Gray Catbird,Dumetella carolinensis,landbird,Raccoons,0.35,,,,
Curve-billed Thrasher,Toxostoma curvirostre,landbird,Cats,0.21,,,,
Ocellated Thrasher,Toxostoma ocellatum,landbird,Cats,0.42,,,,
Brown Thrasher,Toxostoma rufum,landbird,Mink,0,,,,
Long-billed Thrasher,Toxostoma longirostre,landbird,Eagles,0.18,,,,
Cozumel Thrasher,Toxostoma guttatum,landbird,Ferrets,0.24,,,,
Bendire's Thrasher,Toxostoma bendirei,landbird,Snakes,0.55,,,,
Mountain Thrush,Turdus plebejus,landbird,Cats,0.14,,,,
Pale-vented Thrush,Turdus obsoletus,landbird,Stoats,0.79,,,,
Clay-colored Thrush,Turdus grayi,landbird,Raccoons,0.57,,,,
White-throated Thrush,Turdus assimilis,landbird,Mink,0.28,,,,
Rufous-backed Robin,Turdus rufopalliatus,landbird,Weasels,0.47,,,,
Rufous-collared Robin,Turdus rufitorques,landbird,Cats,0.31,,,,
American Robin,Turdus migratorius,landbird,Weasels,0.73,,,,
Varied Thrush,Ixoreus naevius,landbird,Raccoons,0.15,,,,
Aztec Thrush,Ridgwayia pinicola,landbird,Raccoons,0.15,,,,
Bluethroat,Cyanecula svecica,landbird,Snakes,0.91,,,,
Northern Wheatear,Oenanthe oenanthe,landbird,Cats,0.73,,,,
Olive Warbler,Peucedramus taeniatus,landbird,Eagles,0.17,,,,
Scaly-breasted Munia,Lonchura punctulata,landbird,Cats,0.01,,,,
Tricolored Munia,Lonchura malacca,landbird,Raccoons,0.33,,,,
House Sparrow,Passer domesticus,landbird,Mink,0.66,,,,
Eurasian Tree Sparrow,Passer montanus,landbird,Raccoons,0.64,,,,
Eastern Yellow Wagtail,Motacilla tschutschensis,landbird,Ferrets,0.47,,,,
White Wagtail,Motacilla alba,landbird,Weasels,0.14,,,,
Red-throated Pipit,Anthus cervinus,landbird,Ferrets,0.16,,,,
American Pipit,Anthus rubescens,landbird,Weasels,0.53,,,,
Sprague's Pipit,Anthus spragueii,landbird,Eagles,0.27,,,,
Yellowish Pipit,Anthus chii,landbird,Mink,0.33,,,,
Elegant Euphonia,Chlorophonia elegantissima,landbird,Snakes,0.22,,,,
Blue-crowned Chlorophonia,Chlorophonia occipitalis,landbird,Raccoons,0.84,,,,
Golden-browed Chlorophonia,Chlorophonia callophrys,landbird,Ferrets,0.42,,,,
West Mexican Euphonia,Euphonia godmani,landbird,Stoats,0.16,,,,
Scrub Euphonia,Euphonia affinis,landbird,Ferrets,0.64,,,,
Yellow-crowned Euphonia,Euphonia luteicapilla,landbird,Mink,0.9,,,,
White-vented Euphonia,Euphonia minuta,landbird,Ferrets,0.66,,,,
Yellow-throated Euphonia,Euphonia hirundinacea,landbird,Eagles,0.17,,,,
Brown-capped Rosy-Finch,Leucosticte australis,landbird,Ferrets,0.35,,,,
House Finch,Haemorhous mexicanus,landbird,Weasels,0.83,,,,
Purple Finch,Haemorhous purpureus,landbird,Mink,0.1,,,,
Cassin's Finch,Haemorhous cassinii,landbird,Cats,0.63,,,,
Common Redpoll,Acanthis flammea,landbird,Snakes,0.47,,,,
Hoary Redpoll,Acanthis hornemanni,landbird,Eagles,0.37,,,,
Red Crossbill,Loxia curvirostra,landbird,Raccoons,0.72,,,,
Cassia Crossbill,Loxia sinesciuris,landbird,Weasels,0.78,,,,
White-winged Crossbill,Loxia leucoptera,landbird,Eagles,0.4,,,,
Pine Siskin,Spinus pinus,landbird,Weasels,0.66,,,,
American Goldfinch,Spinus tristis,landbird,Weasels,0.36,,,,
Rosy Thrush-Tanager,Rhodinocichla rosea,landbird,Mink,0.46,,,,
Lapland Longspur,Calcarius lapponicus,landbird,Cats,0.52,,,,
Chestnut-collared Longspur,Calcarius ornatus,landbird,Cats,0.83,,,,
Smith's Longspur,Calcarius pictus,landbird,Stoats,0.36,,,,
Thick-billed Longspur,Rhynchophanes mccownii,landbird,Weasels,0.09,,,,
Snow Bunting,Plectrophenax nivalis,landbird,Stoats,0.91,,,,
McKay's Bunting,Plectrophenax hyperboreus,landbird,Weasels,0.22,,,,
Yellow-throated Chlorospingus,Chlorospingus flavigularis,landbird,Eagles,0.43,,,,
Ashy-throated Chlorospingus,Chlorospingus canigularis,landbird,Snakes,0.82,,,,
Sooty-capped Chlorospingus,Chlorospingus pileatus,landbird,Eagles,0.07,,,,
Common Chlorospingus,Chlorospingus flavopectus,landbird,Weasels,0.85,,,,
Tacarcuna Chlorospingus,Chlorospingus tacarcunae,landbird,Raccoons,0.45,,,,
Pirre Chlorospingus,Chlorospingus inornatus,landbird,Snakes,0.54,,,,
Rufous-winged Sparrow,Peucaea carpalis,landbird,Ferrets,0.16,,,,
Cinnamon-tailed Sparrow,Peucaea sumichrasti,landbird,Stoats,0.17,,,,
Stripe-headed Sparrow,Peucaea ruficauda,landbird,Cats,0.02,,,,
Black-chested Sparrow,Peucaea humeralis,landbird,Cats,0.14,,,,
Bridled Sparrow,Peucaea mystacalis,landbird,Stoats,0.14,,,,
Botteri's Sparrow,Peucaea botterii,landbird,Eagles,0.65,,,,
Cassin's Sparrow,Peucaea cassinii,landbird,Ferrets,0.84,,,,
Bachman's Sparrow,Peucaea aestivalis,landbird,Cats,0.33,,,,
Grasshopper Sparrow,Ammodramus savannarum,landbird,Stoats,0.15,,,,
Olive Sparrow,Arremonops rufivirgatus,landbird,Mink,0.93,,,,
Green-backed Sparrow,Arremonops chloronotus,landbird,Weasels,0.49,,,,
Black-striped Sparrow,Arremonops conirostris,landbird,Eagles,0.28,,,,
Five-striped Sparrow,Amphispizopsis quinquestriata,landbird,Mink,0.32,,,,
Black-throated Sparrow,Amphispiza bilineata,landbird,Eagles,0.72,,,,
Lark Sparrow,Chondestes grammacus,landbird,Stoats,0.23,,,,
Lark Bunting,Calamospiza melanocorys,landbird,Cats,0.57,,,,
Chipping Sparrow,Spizella passerina,landbird,Eagles,0.01,,,,
Clay-colored Sparrow,Spizella pallida,landbird,Raccoons,0.92,,,,
Black-chinned Sparrow,Spizella atrogularis,landbird,Ferrets,0.72,,,,
Field Sparrow,Spizella pusilla,landbird,Ferrets,0.27,,,,
Brewer's Sparrow,Spizella breweri,landbird,Mink,0.71,,,,
Worthen's Sparrow,Spizella wortheni,landbird,Cats,0.19,,,,
Costa Rican Brushfinch,Arremon costaricensis,landbird,Stoats,0.52,,,,
Orange-billed Sparrow,Arremon aurantiirostris,landbird,Weasels,0.83,,,,
Green-striped Brushfinch,Arremon virenticeps,landbird,Weasels,0.4,,,,
Chestnut-capped Brushfinch,Arremon brunneinucha,landbird,Raccoons,0.58,,,,
Sooty-faced Finch,Arremon crassirostris,landbird,Cats,0.73,,,,
Fox Sparrow,Passerella iliaca,landbird,Stoats,0.3,,,,
American Tree Sparrow,Spizelloides arborea,landbird,Raccoons,0.6,,,,
Volcano Junco,Junco vulcani,landbird,Weasels,0.76,,,,
Guadalupe Junco,Junco insularis,landbird,Snakes,0.74,,,,
Dark-eyed Junco,Junco hyemalis,landbird,Mink,0.68,,,,
Yellow-eyed Junco,Junco phaeonotus,landbird,Cats,0.1,,,,
Baird's Junco,Junco bairdi,landbird,Stoats,0.09,,,,
Rufous-collared Sparrow,Zonotrichia capensis,landbird,Raccoons,0.78,,,,
White-crowned Sparrow,Zonotrichia leucophrys,landbird,Ferrets,0.32,,,,
Golden-crowned Sparrow,Zonotrichia atricapilla,landbird,Stoats,0.45,,,,
Harris's Sparrow,Zonotrichia querula,landbird,Eagles,0.58,,,,
White-throated Sparrow,Zonotrichia albicollis,landbird,Eagles,0.57,,,,
Bell's Sparrow,Artemisiospiza belli,landbird,Stoats,0.31,,,,
Sagebrush Sparrow,Artemisiospiza nevadensis,landbird,Ferrets,0.07,,,,
Striped Sparrow,Oriturus superciliosus,landbird,Ferrets,0.95,,,,
Vesper Sparrow,Pooecetes gramineus,landbird,Eagles,0.37,,,,
LeConte's Sparrow,Ammospiza leconteii,landbird,Ferrets,0.48,,,,
Seaside Sparrow,Ammospiza maritima,landbird,Ferrets,0.44,,,,
Nelson's Sparrow,Ammospiza nelsoni,landbird,Stoats,0,,,,
Saltmarsh Sparrow,Ammospiza caudacuta,landbird,Snakes,0.73,,,,
Baird's Sparrow,Centronyx bairdii,landbird,Cats,0.41,,,,
Henslow's Sparrow,Centronyx henslowii,landbird,Ferrets,0.64,,,,
Savannah Sparrow,Passerculus sandwichensis,landbird,Ferrets,0.28,,,,
Rufous-capped Brushfinch,Atlapetes pileatus,landbird,Cats,0.44,,,,
White-naped Brushfinch,Atlapetes albinucha,landbird,Snakes,0.72,,,,
Yellow-thighed Brushfinch,Atlapetes tibialis,landbird,Weasels,0.66,,,,
Yellow-green Brushfinch,Atlapetes luteoviridis,landbird,Cats,0.73,,,,
Wrenthrush,Zeledonia coronata,landbird,Weasels,0.34,,,,
Western Spindalis,Spindalis zena,landbird,Stoats,0.12,,,,
Yellow-breasted Chat,Icteria virens,landbird,Eagles,0.7,,,,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,landbird,Mink,0.2,,,,
Bobolink,Dolichonyx oryzivorus,landbird,Weasels,0.64,,,,
Chihuahuan Meadowlark,Sturnella lilianae,landbird,Stoats,0.78,,,,
Eastern Meadowlark,Sturnella magna,landbird,Mink,0.74,,,,
Western Meadowlark,Sturnella neglecta,landbird,Cats,0.5,,,,
Red-breasted Meadowlark,Leistes militaris,landbird,Eagles,0.91,,,,
Yellow-billed Cacique,Amblycercus holosericeus,landbird,Snakes,0.78,,,,
Yellow-winged Cacique,Cassiculus melanicterus,landbird,Cats,0.83,,,,
Crested Oropendola,Psarocolius decumanus,landbird,Snakes,0.04,,,,
Chestnut-headed Oropendola,Psarocolius wagleri,landbird,Eagles,0.7,,,,
Montezuma Oropendola,Psarocolius montezuma,landbird,Eagles,0.4,,,,
Black Oropendola,Psarocolius guatimozinus,landbird,Eagles,0.95,,,,
Scarlet-rumped Cacique,Cacicus uropygialis,landbird,Snakes,0.83,,,,
Yellow-rumped Cacique,Cacicus cela,landbird,Ferrets,0.3,,,,
Black-vented Oriole,Icterus wagleri,landbird,Mink,0.12,,,,
Bar-winged Oriole,Icterus maculialatus,landbird,Stoats,0.3,,,,
Black-cowled Oriole,Icterus prosthemelas,landbird,Cats,0.4,,,,
Orchard Oriole,Icterus spurius,landbird,Mink,0.68,,,,
Hooded Oriole,Icterus cucullatus,landbird,Eagles,0.17,,,,
Yellow-backed Oriole,Icterus chrysater,landbird,Weasels,0.67,,,,
